pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId,primeAnimacy,targetAnimacy
133,CVC,CV,nucleus,y,촛불,고래,PICTURE_68.png,PICTURE_724.png,Candle,Whale,inanimate,animate
279,CVC,CVC,syllable,y,전구,전갈,PICTURE_244.png,PICTURE_370.png,Lightbulb,Scorpion,inanimate,animate
102,CV,CVC,nucleus,y,피자,깃발,PICTURE_489.png,PICTURE_295.png,Pizza,Flag,inanimate,inanimate
167,CVC,CVC,control,n,삼각,칠판,PICTURE_181.png,PICTURE_402.png,Triangle,Blackboard,inanimate,inanimate
78,CV,CVC,nucleus,y,타조,말벌,PICTURE_299.png,PICTURE_62.png,Ostrich,Hornet,animate,animate
21,CVC,CVC,onset,y,반지,봉투,PICTURE_744.png,PICTURE_310.png,Ring,Envelope,inanimate,inanimate
170,CV,CV,syllable,y,치마,치즈,PICTURE_199.png,PICTURE_72.png,Skirt,Cheese,inanimate,inanimate
219,CVC,CVC,rime,y,문어,군인,PICTURE_728.png,PICTURE_317.png,Octopus,Soldier,animate,animate
5,CV,CVC,onset,y,버섯,봉투,PICTURE_177.png,PICTURE_310.png,Mushroom,Envelope,inanimate,inanimate
157,CVC,CV,body,y,삼각,사진,PICTURE_181.png,PICTURE_527.png,Triangle,Photo,inanimate,inanimate
255,CVC,CVC,syllable,y,공룡,공주,PICTURE_293.png,PICTURE_157.png,Dinosaur,Princess,animate,animate
93,CVC,CVC,nucleus,y,장미,말벌,PICTURE_480.png,PICTURE_62.png,Rose,Hornet,inanimate,animate
149,CV,CVC,body,y,사진,삼각,PICTURE_527.png,PICTURE_181.png,Photo,Triangle,inanimate,inanimate
222,CVC,CVC,rime,y,분필,군인,PICTURE_622.png,PICTURE_317.png,Chalk,Soldier,inanimate,animate
22,CVC,CVC,onset,y,봉투,반지,PICTURE_310.png,PICTURE_744.png,Envelope,Ring,inanimate,inanimate
31,CV,CVC,onset,y,노트,낙타,PICTURE_642.png,PICTURE_77.png,Notebook,Camel,inanimate,animate
171,CV,CV,control,n,치즈,사슴,PICTURE_72.png,PICTURE_105.png,Cheese,Deer,inanimate,animate
100,CV,CV,control,n,사과,지문,PICTURE_552.png,PICTURE_537.png,Apple,Fingerprint,inanimate,inanimate
45,CVC,CVC,onset,y,낙타,눈썹,PICTURE_77.png,PICTURE_578.png,Camel,Eyebrow,animate,animate
182,CVC,CV,body,y,침대,치마,PICTURE_268.png,PICTURE_199.png,Bed,Skirt,inanimate,inanimate
111,CVC,CV,nucleus,y,깃발,피자,PICTURE_295.png,PICTURE_489.png,Flag,Pizza,inanimate,inanimate
280,CVC,CVC,syllable,y,전구,전화,PICTURE_244.png,PICTURE_509.png,Lightbulb,Telephone,inanimate,inanimate
63,CVC,CV,onset,y,감자,거미,PICTURE_249.png,PICTURE_38.png,Potato,Spider,inanimate,animate
145,CV,CV,syllable,y,사진,사슴,PICTURE_527.png,PICTURE_105.png,Photo,Deer,inanimate,animate
267,CVC,CVC,syllable,y,신문,신발,PICTURE_61.png,PICTURE_541.png,Newspaper,Shoes,inanimate,inanimate
74,CV,CV,nucleus,y,사과,타조,PICTURE_552.png,PICTURE_299.png,Apple,Ostrich,inanimate,animate
268,CVC,CVC,syllable,y,신문,신부,PICTURE_61.png,PICTURE_602.png,Newspaper,Priest,inanimate,animate
233,CVC,CVC,rime,y,책상,맥주,PICTURE_110.png,PICTURE_229.png,Desk,Beer,inanimate,inanimate
281,CVC,CVC,syllable,y,전화,전갈,PICTURE_509.png,PICTURE_370.png,Telephone,Scorpion,inanimate,animate
190,CVC,CVC,body,y,칠판,침대,PICTURE_402.png,PICTURE_268.png,Blackboard,Bed,inanimate,inanimate
271,CVC,CVC,control,n,공항,신부,PICTURE_617.png,PICTURE_602.png,Airport,Priest,inanimate,animate
83,CV,CVC,control,n,사과,깃발,PICTURE_552.png,PICTURE_295.png,Apple,Flag,inanimate,inanimate
158,CVC,CV,body,y,삼각,사슴,PICTURE_181.png,PICTURE_105.png,Triangle,Deer,inanimate,animate
101,CV,CVC,nucleus,y,피자,식물,PICTURE_489.png,PICTURE_611.png,Pizza,Plant,inanimate,inanimate
243,CVC,CVC,rime,y,발목,날개,PICTURE_205.png,PICTURE_307.png,Ankle,Wing,animate,animate
98,CV,CV,nucleus,y,지문,피자,PICTURE_537.png,PICTURE_489.png,Fingerprint,Pizza,inanimate,inanimate
