pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId
141,CVC,CVC,nucleus,y,촛불,복도,PICTURE_68.png,PICTURE_483.png,Candle,Hallway
244,CVC,CVC,rime,y,발목,팔찌,PICTURE_205.png,PICTURE_588.png,Ankle,Bracelet
217,CVC,CVC,rime,y,군인,문어,PICTURE_317.png,PICTURE_728.png,Soldier,Octopus
236,CVC,CVC,control,n,백조,날개,PICTURE_528.png,PICTURE_307.png,Swan,Wing
246,CVC,CVC,rime,y,팔찌,발목,PICTURE_588.png,PICTURE_205.png,Bracelet,Ankle
277,CVC,CVC,syllable,y,전갈,전구,PICTURE_370.png,PICTURE_244.png,Scorpion,Lightbulb
133,CVC,CV,nucleus,y,촛불,고래,PICTURE_68.png,PICTURE_724.png,Candle,Whale
222,CVC,CVC,rime,y,분필,군인,PICTURE_622.png,PICTURE_317.png,Chalk,Soldier
214,CVC,CVC,body,y,폴더,폭탄,PICTURE_596.png,PICTURE_386.png,Folder,Bomb
220,CVC,CVC,rime,y,문어,분필,PICTURE_728.png,PICTURE_622.png,Octopus,Chalk
60,CV,CVC,control,n,계단,낙타,PICTURE_500.png,PICTURE_77.png,Stairs,Camel
171,CV,CV,control,n,치즈,사슴,PICTURE_72.png,PICTURE_105.png,Cheese,Deer
148,CV,CV,control,n,포크,사진,PICTURE_673.png,PICTURE_527.png,Fork,Photo
278,CVC,CVC,syllable,y,전갈,전화,PICTURE_370.png,PICTURE_509.png,Scorpion,Telephone
231,CVC,CVC,rime,y,백조,맥주,PICTURE_528.png,PICTURE_229.png,Swan,Beer
121,CV,CV,nucleus,y,고래,도끼,PICTURE_724.png,PICTURE_422.png,Whale,Axe
255,CVC,CVC,syllable,y,공룡,공주,PICTURE_293.png,PICTURE_157.png,Dinosaur,Princess
241,CVC,CVC,rime,y,날개,발목,PICTURE_307.png,PICTURE_205.png,Wing,Ankle
173,CV,CVC,body,y,치즈,침대,PICTURE_72.png,PICTURE_268.png,Cheese,Bed
114,CVC,CV,control,n,식물,고래,PICTURE_611.png,PICTURE_724.png,Plant,Whale
223,CVC,CVC,control,n,문어,맥주,PICTURE_728.png,PICTURE_229.png,Octopus,Beer
111,CVC,CV,nucleus,y,깃발,피자,PICTURE_295.png,PICTURE_489.png,Flag,Pizza
268,CVC,CVC,syllable,y,신문,신부,PICTURE_61.png,PICTURE_602.png,Newspaper,Priest
86,CVC,CV,nucleus,y,장미,사과,PICTURE_480.png,PICTURE_552.png,Rose,Apple
87,CVC,CV,nucleus,y,말벌,타조,PICTURE_62.png,PICTURE_299.png,Hornet,Ostrich
181,CVC,CV,body,y,침대,치즈,PICTURE_268.png,PICTURE_72.png,Bed,Cheese
183,CVC,CV,body,y,칠판,치즈,PICTURE_402.png,PICTURE_72.png,Blackboard,Cheese
38,CVC,CV,onset,y,낙타,노트,PICTURE_77.png,PICTURE_642.png,Camel,Notebook
107,CV,CVC,control,n,지문,촛불,PICTURE_537.png,PICTURE_68.png,Fingerprint,Candle
